Session,Rat,trialtype,cue,mu,tau
5,33,0,2,0.32604280515588,0.199130368050007
0.5,25,0,2,0.305134846292155,0.280316260033788
1,25,0,2,0.307520236252869,0.40630229278971
1.5,25,0,2,0.284567612502877,0.457837172136085
2,25,0,2,0.313115061358612,0.267444780335902
2.5,25,0,2,0.29862524429425,0.369739998384941
3,25,0,2,0.307814479847561,0.408948233653084
3.5,25,0,2,0.314065925840946,0.419991017665632
4,25,0,2,0.303081060708683,0.386608132409975
4.5,25,0,2,0.320406801027873,0.331589254367363
5,25,0,2,0.32554256305651,0.300271419833012
0.5,26,0,2,0.35999993735565,0.331058057668965
1,26,0,2,0.352942949423831,0.379962561872624
1.5,26,0,2,0.333744409070228,0.28145385376167
2,26,0,2,0.330637433978919,0.254272743829252
2.5,26,0,2,0.337264432040711,0.308136023328814
3,26,0,2,0.346102730338145,0.343084422399477
3.5,26,0,2,0.360983277175772,0.321123372765558
4,26,0,2,0.339910750065665,0.35453404033686
4.5,26,0,2,0.326375288599544,0.261915330989978
5,26,0,2,0.307999988620523,0.292396657451867
0.5,27,0,2,0.396750014506013,0.222361909418801
1,27,0,2,0.414409454268923,0.233498492982101
1.5,27,0,2,0.387620146858372,0.283131552398822
2,27,0,2,0.409404652551,0.23059494872822
2.5,27,0,2,0.323432315942341,0.229999861834327
3,27,0,2,0.351999987095714,0.376752592416972
3.5,27,0,2,0.393913009880409,0.238729930143795
4,27,0,2,0.414204108945437,0.259453460065403
4.5,27,0,2,0.410157939961854,0.256913012551151
5,27,0,2,0.440960635683492,0.245387888497361
0.5,28,0,2,0.320173791712414,0.312792947126036
1,28,0,2,0.324946820337705,0.302936696354818
1.5,28,0,2,0.334055488508623,0.340208012880029
2,28,0,2,0.319773259495903,0.28252396268282
3,28,0,2,0.282833701691352,0.279877021743792
3.5,28,0,2,0.303561183375219,0.322300472668356
4,28,0,2,0.272263176720017,0.303953405666605
4.5,28,0,2,0.283828512122482,0.270970917549653
5,28,0,2,0.317330428396196,0.304128057139077
0.5,29,0,2,0.334523240967636,0.316221732386937
1,29,0,2,0.356639194394974,0.304053297081083
1.5,29,0,2,0.320086533201419,0.273806720922876
2,29,0,2,0.358292738381347,0.358749427809816
3,29,0,2,0.299473990760804,0.319775969045516
3.5,29,0,2,0.313864374177838,0.317678509181249
4,29,0,2,0.279999960003948,0.416391138358808
4.5,29,0,2,0.31909312016706,0.383074329475647
5,29,0,2,0.276780008912242,0.383803883676721
0.5,30,0,2,0.413066625134079,0.292446868650506
1,30,0,2,0.412499714309129,0.246985619046449
1.5,30,0,2,0.388732822030211,0.272051171865035
2,30,0,2,0.375991535599768,0.273115006333819
3,30,0,2,0.345181515221585,0.314065552653947
3.5,30,0,2,0.370661000643412,0.251936654367486
4,30,0,2,0.395444334129612,0.304909276886425
4.5,30,0,2,0.381078864057393,0.228404512403344
5,30,0,2,0.391982701921638,0.304034231739064
0.5,31,0,2,0.293829674852067,0.280469773483632
1,31,0,2,0.281558916153773,0.284270119015556
1.5,31,0,2,0.298230977867577,0.293938814956445
2,31,0,2,0.311216890709527,0.18453203672914
3,31,0,2,0.298901301066011,0.281794238949171
3.5,31,0,2,0.279419268106823,0.26673797830732
4,31,0,2,0.285724466407537,0.249082433030092
4.5,31,0,2,0.265398873802654,0.270468413399668
5,31,0,2,0.272301272989176,0.278119358296577
0.5,32,0,2,0.326582097428118,0.272228065789636
1,32,0,2,0.346918613451548,0.269111137196577
1.5,32,0,2,0.38316513180204,0.37269842286997
