Session,Rat,trialtype,cue,medRT,HVpref
1,3,0,8,0.50800000000001,0.789473684210526
1,5,0,8,0.887000000000057,0.623376623376623
1,6,0,8,0.605999999999994,0.741379310344828
1,7,0,8,0.594000000000051,0.875
1,8,0,8,0.801999999999907,0.755555555555556
1,10,0,8,0.546000000000277,0.72
1,11,0,8,0.442000000000007,0.714285714285714
1,13,0,8,0.456999999999965,0.652173913043478
1,LTC17,1,8,0.425999999999931,0.661971830985916
2,LTC17,1,8,0.611000000000104,0.751677852348993
3,LTC17,1,8,0.425999999999988,0.679775280898876
4,LTC17,1,8,0.504000000000019,0.777777777777778
5,LTC17,1,8,0.372000000000298,0.660919540229885
1,LTC23,1,8,0.658000000000015,0.642105263157895
2,LTC23,1,8,0.503999999999905,0.612244897959184
3,LTC23,1,8,0.608000000000004,0.625
4,LTC23,1,8,0.825999999999965,0.671232876712329
5,LTC23,1,8,0.567999999999984,0.681818181818182
1,LTC13,1,8,0.679999999999836,0.645161290322581
2,LTC13,1,8,0.579999999999927,0.701298701298701
3,LTC13,1,8,0.597999999999956,0.696551724137931
4,LTC13,1,8,0.565999999999803,0.713114754098361
5,LTC13,1,8,0.562000000000012,0.71830985915493
1,LTC16,1,8,0.696999999999889,0.630630630630631
2,LTC16,1,8,0.758000000000038,0.687022900763359
3,LTC16,1,8,0.599999999999994,0.691666666666667
4,LTC16,1,8,0.642000000000053,0.672897196261682
5,LTC16,1,8,0.621999999999957,0.638655462184874
1,LTC15,1,8,0.666999999999874,0.72108843537415
2,LTC15,1,8,0.645999999999958,0.709923664122137
3,LTC15,1,8,0.550000000000182,0.664473684210526
4,LTC15,1,8,0.589000000000169,0.698529411764706
5,LTC15,1,8,0.586000000000013,0.7421875
1,21,1,8,0.513000000000034,0.78125
2,21,1,8,0.429999999999836,0.784722222222222
3,21,1,8,0.620000000000061,0.78030303030303
4,21,1,8,0.474999999999966,0.841726618705036
5,21,1,8,0.365999999999985,0.698529411764706
1,33,1,8,0.53400000000002,0.82962962962963
2,33,1,8,0.474000000000046,0.879432624113475
3,33,1,8,0.434000000000196,0.8046875
4,33,1,8,0.504000000000019,0.87741935483871
5,33,1,8,0.412000000000035,0.877906976744186
1,25,1,8,0.73800000000017,0.663793103448276
2,25,1,8,0.539999999999964,0.75609756097561
3,25,1,8,0.572000000000003,0.82962962962963
4,25,1,8,0.677000000000135,0.798657718120805
5,25,1,8,0.5,0.678082191780822
1,26,1,8,0.620999999999981,0.8
2,26,1,8,0.52800000000002,0.81294964028777
3,26,1,8,0.503999999999905,0.89763779527559
4,26,1,8,0.559999999999945,0.807339449541284
5,26,1,8,0.510999999999967,0.787878787878788
1,27,1,8,0.521999999999935,0.814285714285714
2,27,1,8,0.519999999999982,0.776859504132231
3,27,1,8,0.583999999999916,0.75609756097561
4,27,1,8,0.548000000000229,0.740157480314961
5,27,1,8,0.625,0.792592592592593
1,28,1,8,0.494000000000142,0.734375
2,28,1,8,0.450000000000046,0.82089552238806
3,28,1,8,0.400000000000091,0.707692307692308
4,28,1,8,0.423000000000002,0.783216783216783
5,28,1,8,0.452000000000225,0.755102040816326
1,29,1,8,0.605999999999989,0.747252747252747
2,29,1,8,0.467000000000056,0.795698924731183
3,29,1,8,0.454000000000001,0.770491803278688
4,29,1,8,0.513000000000062,0.716216216216216
5,29,1,8,0.420000000000073,0.702479338842975
1,30,1,8,0.570000000000164,0.728260869565217
2,30,1,8,0.559999999999945,0.69811320754717
3,30,1,8,0.519999999999982,0.565217391304348
4,30,1,8,0.546000000000277,0.720588235294118
5,30,1,8,0.529000000000167,0.731543624161074
1,31,1,8,0.5,0.697247706422018
2,31,1,8,0.440000000000055,0.68421052631579
3,31,1,8,0.412000000000148,0.790697674418605
4,31,1,8,0.449999999999818,0.690647482014388
5,31,1,8,0.403999999999996,0.737226277372263
1,32,1,8,0.697999999999979,0.797297297297297
2,32,1,8,0.550000000000011,0.760869565217391
3,32,1,8,0.494000000000028,0.793814432989691
4,32,1,8,0.47099999999989,0.805309734513274
5,32,1,8,0.47199999999998,0.810126582278481
1,1,1,8,0.930000000000007,0.685185185185185
1,2,1,8,0.942000000000007,0.648148148148148
1,3,1,8,0.629999999999995,0.789473684210526
1,5,1,8,0.949999999999989,0.623376623376623
1,6,1,8,0.630000000000109,0.741379310344828
1,7,1,8,0.688000000000045,0.875
1,8,1,8,0.877999999999702,0.755555555555556
1,10,1,8,0.557999999999993,0.72
1,11,1,8,0.494000000000028,0.714285714285714
1,13,1,8,0.583999999999932,0.652173913043478
0.5,LTC17,0,2,0.454999999999927,1
1,LTC17,0,2,0.453000000000031,0.338028169014084
1.5,LTC17,0,2,0.449999999999932,1
2,LTC17,0,2,0.545999999999822,0.248322147651007
2.5,LTC17,0,2,0.396000000000185,1
3,LTC17,0,2,0.41100000000003,0.320224719101124
3.5,LTC17,0,2,0.41599999999994,1
4,LTC17,0,2,0.463999999999942,0.222222222222222
4.5,LTC17,0,2,0.430000000000007,1
5,LTC17,0,2,0.4699999999998,0.339080459770115
0.5,LTC23,0,2,0.467999999999904,1
1,LTC23,0,2,0.519999999999982,0.357894736842105
1.5,LTC23,0,2,0.447999999999979,1
